channel,time_start,time_end,freq_start,freq_end,total,errors,ber
1,160,176,12,16,0,0,
1,176,192,0,4,0,0,
1,176,192,4,8,0,0,
1,176,192,8,12,0,0,
1,176,192,12,16,0,0,
1,192,208,0,4,0,0,
1,192,208,4,8,0,0,
1,192,208,8,12,0,0,
1,192,208,12,16,0,0,
1,208,224,0,4,0,0,
1,208,224,4,8,0,0,
1,208,224,8,12,0,0,
1,208,224,12,16,0,0,
1,224,240,0,4,0,0,
1,224,240,4,8,0,0,
1,224,240,8,12,0,0,
1,224,240,12,16,0,0,
1,240,256,0,4,0,0,
1,240,256,4,8,0,0,
1,240,256,8,12,0,0,
1,240,256,12,16,0,0,
2,0,16,0,4,0,0,
2,0,16,4,8,0,0,
2,0,16,8,12,0,0,
2,0,16,12,16,0,0,
2,16,32,0,4,0,0,
2,16,32,4,8,0,0,
2,16,32,8,12,0,0,
2,16,32,12,16,0,0,
2,32,48,0,4,0,0,
2,32,48,4,8,0,0,
2,32,48,8,12,0,0,
2,32,48,12,16,0,0,
2,48,64,0,4,0,0,
2,48,64,4,8,0,0,
2,48,64,8,12,0,0,
2,48,64,12,16,0,0,
2,64,80,0,4,0,0,
2,64,80,4,8,0,0,
2,64,80,8,12,0,0,
2,64,80,12,16,0,0,
2,80,96,0,4,0,0,
2,80,96,4,8,0,0,
2,80,96,8,12,0,0,
2,80,96,12,16,0,0,
2,96,112,0,4,0,0,
2,96,112,4,8,0,0,
2,96,112,8,12,0,0,
2,96,112,12,16,0,0,
2,112,128,0,4,0,0,
2,112,128,4,8,0,0,
2,112,128,8,12,0,0,
2,112,128,12,16,0,0,
2,128,144,0,4,0,0,
2,128,144,4,8,0,0,
2,128,144,8,12,0,0,
2,128,144,12,16,0,0,
2,144,160,0,4,0,0,
2,144,160,4,8,0,0,
2,144,160,8,12,0,0,
2,144,160,12,16,0,0,
2,160,176,0,4,0,0,
2,160,176,4,8,0,0,
2,160,176,8,12,0,0,
2,160,176,12,16,0,0,
2,176,192,0,4,0,0,
2,176,192,4,8,0,0,
2,176,192,8,12,0,0,
2,176,192,12,16,0,0,
2,192,208,0,4,0,0,
2,192,208,4,8,0,0,
2,192,208,8,12,0,0,
2,192,208,12,16,0,0,
2,208,224,0,4,0,0,
2,208,224,4,8,0,0,
2,208,224,8,12,0,0,
2,208,224,12,16,0,0,
2,224,240,0,4,0,0,
2,224,240,4,8,0,0,
2,224,240,8,12,0,0,
2,224,240,12,16,0,0,
2,240,256,0,4,0,0,
2,240,256,4,8,0,0,
2,240,256,8,12,0,0,
2,240,256,12,16,0,0,
